Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_Bruto;Tipo Agregado
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;8800.0;Apartamento
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;4505.0;Apartamento
Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;2394.0;Apartamento
Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;1785.0;Apartamento
Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;7355.0;Apartamento
Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;2400.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;2525.0;Apartamento
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;2456.0;Apartamento
Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;;10400.0;Apartamento
Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;10800.0;Apartamento
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;;5170.0;Apartamento
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;1380.0;Apartamento
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;4490.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;3964.0;Apartamento
Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;1080.0;Apartamento
Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;3480.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;4000.0;Apartamento
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;1640.0;Apartamento
Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;6907.0;Apartamento
Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;;2240.0;Apartamento
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;3900.0;Apartamento
Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;2080.0;Apartamento
Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;;2882.0;Apartamento
Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;;2780.0;Apartamento
Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;8800.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;4050.0;Apartamento
Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0;1450.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0;4100.0;Apartamento
Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0;5259.0;Apartamento
Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;2570.0;Apartamento
Apartamento;Praça Seca;2;0;0;80;1000.0;;;;Apartamento
Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;2900.0;Apartamento
Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;3480.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0;5335.0;Apartamento
Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;22768.0;Apartamento
Apartamento;Olaria;2;1;0;53;1100.0;160.0;;1260.0;Apartamento
Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;3360.0;Apartamento
Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;5478.0;Apartamento
Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;8528.0;Apartamento
Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;4450.0;Apartamento
